,topic,username,repo_name,repo_desc,stars,repo_url,tags
13,Algorithm,TheAlgorithms,JavaScript,"Algorithms and Data Structures implemented in JavaScript for beginners, following best practices.",30132,https://github.com/TheAlgorithms/JavaScript,"['javascript', 'search', 'cryptography', 'algorithm', 'cipher', 'algorithms', 'mathematics', 'sort', 'data-structures', 'conversions', 'sorting-algorithms', 'algorithm-challenges', 'hacktoberfest', 'algorithms-implemented']"
14,Algorithm,donnemartin,interactive-coding-challenges,120+ interactive Python coding interview challenges (algorithms and data structures). Includes Anki flashcards.,28211,https://github.com/donnemartin/interactive-coding-challenges,"['python', 'development', 'algorithm', 'programming', 'data-structure', 'interview', 'competitive-programming', 'coding', 'interview-practice', 'interview-questions']"
15,Algorithm,crossoverJie,JCSprout,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm",27039,https://github.com/crossoverJie/JCSprout,"['java', 'algorithm', 'jvm', 'netty', 'concurrent-programming', 'basic-java']"
16,Algorithm,TheAlgorithms,C-Plus-Plus,"Collection of various algorithms in mathematics, machine learning, computer science and physics implemented in C++ for educational purposes.",27007,https://github.com/TheAlgorithms/C-Plus-Plus,"['search', 'computer-science', 'machine-learning', 'algorithm', 'algorithms', 'cpp', 'machine-learning-algorithms', 'mathematics', 'sort', 'data-structures', 'educational', 'algorithm-competitions', 'interview-questions', 'hacktoberfest', 'algorithms-implemented', 'interview-preparation', 'artificial-intelligence-algorithms', 'instructor-materials']"
17,Algorithm,keon,algorithms,Minimal examples of data structures and algorithms in Python,23243,https://github.com/keon/algorithms,"['python', 'search', 'tree', 'algorithm', 'data-structure', 'algorithms', 'graph', 'competitive-programming', 'sort']"
18,Algorithm,mxgmn,WaveFunctionCollapse,Bitmap & tilemap generation from a single example with the help of ideas from quantum mechanics,22263,https://github.com/mxgmn/WaveFunctionCollapse,"['gamedev', 'machine-learning', 'algorithm', 'csharp', 'procedural-generation', 'wfc']"
19,Algorithm,trekhleb,homemade-machine-learning,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,22155,https://github.com/trekhleb/homemade-machine-learning,"['python', 'machine-learning', 'algorithm', 'jupyter', 'machine-learning-algorithms', 'jupyter-notebook', 'machinelearning']"
0,Amp,amphp,amp,A non-blocking concurrency framework for PHP applications. 🐘,4078,https://github.com/amphp/amp,"['php', 'promises', 'async', 'asynchronous', 'coroutines', 'concurrency', 'futures', 'amphp', 'revolt']"
1,Amp,danog,MadelineProto,Async PHP client API for the telegram MTProto protocol,2566,https://github.com/danog/MadelineProto,"['bot', 'php', 'telegram', 'lua', 'async', 'proxy', 'telegram-api', 'mtproto', 'easy', 'voip', 'madelineproto', 'hacktoberfest', 'amphp', 'stickers', 'inline-bots', 'calls', 'tdlib', 'secret-chats', 'tdlib-php', 'mtproto-api']"
2,Amp,unreal4u,telegram-api,Complete async capable Telegram bot API implementation for PHP7,772,https://github.com/unreal4u/telegram-api,"['php', 'composer', 'telegram', 'php7', 'telegram-bot', 'reactphp', 'bot-api', 'telegram-api', 'wiki-page', 'amphp', 'inline-bots']"
